row,instance_id,prompt_tokens,sampled_query_rows,assistant_fraction,adjacent_overlap_mean,adjacent_overlap_p50,adjacent_overlap_p10,adjacent_overlap_p90,consecutive_c4_fraction_mean,npz_bytes
0,astropy__astropy-12907,33316,1024,0.40318174996247935,0.6694404965355283,0.728515625,0.33652343750000036,0.890625,0.5568886105383933,392199020
3,astropy__astropy-14995,22300,768,0.3198798152383515,0.6891342647491939,0.748046875,0.369140625,0.908203125,0.5882125966825087,233600483
4,astropy__astropy-6938,6922,256,0.3688773298656264,0.8086911156063988,0.857421875,0.578125,0.955078125,0.7457333746854906,37400733
5,astropy__astropy-7746,46248,1024,0.45903518066036714,0.6715268634614491,0.72265625,0.357421875,0.892578125,0.5388105102914453,597014865
8,django__django-11001,19214,768,0.4837870192057461,0.7016874040876117,0.767578125,0.36328125,0.91015625,0.5991170440779051,187703830
12,django__django-11099,13137,512,0.3601552984165652,0.7322961716424852,0.787109375,0.4453125,0.921875,0.6393380233086385,111222618
18,django__django-11583,14198,512,0.2310347256462633,0.7432812282017299,0.791015625,0.458984375,0.927734375,0.6359362987489516,122745478
19,django__django-11620,73739,1280,0.44046488920231086,0.6347826276506696,0.6953125,0.26953125,0.87890625,0.5049120975444973,1065430375
