B,H,Q,bf16_status,bf16_tflops,bf16_latency_ms,q8kv8_status,q8kv8_skip_reason,q8kv8_tflops,q8kv8_latency_ms,q8kv8_vs_bf16_tflops
1,2048,2,ok,8.353229806828947,0.06828799843788147,ok,,8.899547190903172,0.06409599632024765,1.0654019339474652
1,4096,2,ok,8.400467116765487,0.06790400296449661,ok,,8.912895576660178,0.06400000303983688,1.0609999959254643
1,8192,2,ok,8.384662709344813,0.06803199648857117,ok,,8.833395444422521,0.06457599997520447,1.0535182810129726
1,16384,2,ok,8.396510201699371,0.0679360032081604,ok,,8.890669769058517,0.06415999680757523,1.0588529705185297
1,32768,2,ok,8.384662709344813,0.06803199648857117,ok,,8.846547001955711,0.0644799992442131,1.0550868065445402
1,65536,2,ok,8.400467116765487,0.06790400296449661,ok,,8.864143450691301,0.06435199826955795,1.0551964941330962
1,131072,2,ok,8.400467116765487,0.06790400296449661,ok,,8.881810040267805,0.0642239972949028,1.057299542610156
1,262144,2,ok,8.396510201699371,0.0679360032081604,ok,,8.802860018575682,0.06480000168085098,1.0483950840426621
1,524288,2,ok,8.400467116765487,0.06790400296449661,ok,,8.824649441805645,0.06464000046253204,1.0504950878497676
2,2048,2,ok,16.582131529881035,0.06880000233650208,ok,,18.13407057475496,0.0629120022058487,1.093591046608051
2,4096,2,ok,16.753564653789883,0.06809599697589874,ok,,18.033174226176296,0.06326399743556976,1.076378346867032
2,8192,2,ok,16.706459613657895,0.06828799843788147,ok,,18.09724984837607,0.06304000318050385,1.083248651532439
2,16384,2,ok,16.706459613657895,0.06828799843788147,ok,,17.807983035531894,0.06406400352716446,1.0659339828633398
2,32768,2,ok,16.667407283342797,0.06844799965620041,ok,,17.924375967124742,0.06364800035953522,1.0754147698207475
2,65536,2,ok,16.745695375768534,0.06812799721956253,ok,,17.996761683032613,0.06339199841022491,1.0747097256453384
2,131072,2,ok,16.690816741853038,0.06835199892520905,ok,,17.781339538117034,0.06415999680757523,1.0653366946106033
2,262144,2,ok,16.81678429159762,0.06784000247716904,ok,,17.97861049893587,0.06345599889755249,1.0690872991644869
2,524288,2,ok,16.737833486797175,0.06815999746322632,ok,,17.879429848747293,0.06380800157785416,1.0682045476704383
4,2048,2,ok,33.42858410051491,0.06825599819421768,ok,,36.17613603701874,0.06307200342416763,1.0821916934394331
4,4096,2,ok,33.63356858319524,0.06784000247716904,ok,,35.848751934249485,0.06364800035953522,1.0658622752318065
4,8192,2,ok,33.63356858319524,0.06784000247716904,ok,,35.70514042254548,0.06390400230884552,1.061592388991553
4,16384,2,ok,33.522882662566175,0.06806399673223495,ok,,35.56267907623407,0.06415999680757523,1.0608478821526188
4,32768,2,ok,33.61771105215447,0.06787200272083282,ok,,35.56267907623407,0.06415999680757523,1.0578554566389775
4,65536,2,ok,33.681231063807665,0.06774400174617767,ok,,35.56267907623407,0.06415999680757523,1.0558604288798732
4,131072,2,ok,33.66532856780178,0.06777600198984146,ok,,35.54495078535587,0.06419199705123901,1.055832581992139
4,262144,2,ok,33.47566697359435,0.06815999746322632,ok,,35.54495078535587,0.06419199705123901,1.0618145655886042
4,524288,2,ok,32.42526995608974,0.07036799937486649,ok,,35.49187180675702,0.06428799778223038,1.0945744431679385
8,2048,2,ok,66.82583845463158,0.06828799843788147,ok,,70.14575899778009,0.06505600363016129,1.0496801928703434
8,4096,2,ok,67.39429718128446,0.06771200150251389,ok,,71.23193214212758,0.06406400352716446,1.0569430222043896
8,8192,2,ok,67.01425861515953,0.06809599697589874,ok,,71.12535815246814,0.06415999680757523,1.061346639092395
8,16384,2,ok,66.60734969698711,0.06851200014352798,ok,,70.31870350102277,0.06489600241184235,1.0557198840806532
8,32768,2,ok,65.92988442454312,0.06921599805355072,ok,,69.53014859639649,0.06563200056552887,1.0546074697882093
8,65536,2,ok,66.23610294968051,0.06889600306749344,ok,,68.99194118952104,0.06614399701356888,1.0416062859545667
8,131072,2,ok,65.71720575784684,0.06943999975919724,ok,,68.62672601372508,0.06649599969387054,1.0442733409359972
8,262144,2,ok,64.968719475174,0.07023999840021133,ok,,68.92524958088653,0.06620799750089645,1.0608990008988004
8,524288,2,ok,64.41116978384056,0.0708480030298233,ok,,68.49487731462258,0.0666240006685257,1.0634006111748422
