B,H,status,skip_reason,latency_us_median,latency_us_p5,latency_us_p95,latency_vs_2k
1,2048,ok,,32.44800120592117,32.127998769283295,33.59999880194664,1.0
1,4096,ok,,33.31200033426285,32.6399989426136,34.432001411914825,1.0266271910820814
1,8192,ok,,32.575998455286026,32.22399950027466,33.59999880194664,1.0039446882583787
1,16384,ok,,32.92800113558769,32.67199918627739,34.36800092458725,1.0147928966909348
1,32768,ok,,33.1839993596077,32.735999673604965,35.64799949526787,1.0226823880156974
1,65536,ok,,32.83200040459633,32.70399942994118,33.72799977660179,1.0118342943911467
1,131072,ok,,32.896000891923904,32.575998455286026,36.19199991226196,1.0138066959243388
1,262144,ok,,32.54399821162224,32.19199925661087,34.4959981739521,1.0029584874917825
1,524288,ok,,32.80000016093254,32.51200169324875,34.143999218940735,1.0108480936245507
2,2048,ok,,33.824000507593155,33.440001308918,38.11199963092804,1.0
2,4096,ok,,33.85600075125694,33.663999289274216,35.32800078392029,1.0009460809834307
2,8192,ok,,33.984001725912094,33.59999880194664,35.679999738931656,1.004730404917154
2,16384,ok,,34.07999873161316,33.85600075125694,35.392001271247864,1.007568537729963
2,32768,ok,,34.17599946260452,33.85600075125694,36.0959991812706,1.0104067806802552
2,65536,ok,,34.17599946260452,33.85600075125694,35.61599925160408,1.0104067806802552
2,131072,ok,,34.01599824428558,33.72799977660179,35.360001027584076,1.0056763757631013
2,262144,ok,,33.59999880194664,33.344000577926636,36.38400137424469,0.9933774331159844
2,524288,ok,,33.504001796245575,33.24799984693527,34.2399999499321,0.9905393003031755
4,2048,ok,,32.6399989426136,32.416000962257385,33.92000123858452,1.0
4,4096,ok,,32.70399942994118,32.416000962257385,34.55999866127968,1.0019607993076256
4,8192,ok,,33.02399814128876,32.80000016093254,34.46400165557861,1.0117646817130812
4,16384,ok,,32.99200162291527,32.76799991726875,34.68799963593483,1.0107843961919405
4,32768,ok,,33.15199911594391,32.86400064826012,34.07999873161316,1.0156862803283324
4,65536,ok,,33.31200033426285,33.08799862861633,35.64799949526787,1.020588278597396
4,131072,ok,,33.24799984693527,32.896000891923904,34.46400165557861,1.0186274792897707
4,262144,ok,,32.575998455286026,32.32000023126602,33.344000577926636,0.9980392006923744
4,524288,ok,,32.6399989426136,32.127998769283295,34.11199897527695,1.0
8,2048,ok,,34.71999987959862,34.46400165557861,37.88800165057182,1.0
8,4096,ok,,34.94400158524513,34.55999866127968,35.77600046992302,1.0064516620513624
8,8192,ok,,35.48799827694893,35.19999980926514,38.07999938726425,1.022119769585644
8,16384,ok,,35.360001027584076,35.00799834728241,36.896001547575,1.0184332128515219
8,32768,ok,,35.26400029659271,34.94400158524513,35.87200120091438,1.0156682148295095
8,65536,ok,,35.48799827694893,34.94400158524513,42.399998754262924,1.022119769585644
8,131072,ok,,35.45600175857544,35.19999980926514,37.376001477241516,1.0211982108735345
8,262144,ok,,35.360001027584076,35.10399907827377,37.02399879693985,1.0184332128515219
8,524288,ok,,35.87200120091438,35.360001027584076,36.959998309612274,1.033179761673694
16,2048,ok,,44.83199864625931,44.38399896025658,46.81599885225296,1.0
16,4096,ok,,45.85599899291992,45.152001082897186,53.37600037455559,1.02284083640215
16,8192,ok,,46.94399982690811,46.560000628232956,49.75999891757965,1.0471092354662406
16,16384,ok,,46.65600135922432,46.20800167322159,47.520000487565994,1.040685286581958
16,32768,ok,,46.751998364925385,46.30399867892265,48.41599985957146,1.0428265474804184
16,65536,ok,,46.78399860858917,46.36799916625023,49.02400076389313,1.0435403288113887
16,131072,ok,,47.13600128889084,46.62400111556053,48.09600114822388,1.0513919234520626
16,262144,ok,,47.16800153255463,46.78399860858917,54.30399999022484,1.052105704783033
16,524288,ok,,46.68800160288811,46.20800167322159,47.359999269247055,1.0413990679129284
32,2048,ok,,70.52800059318542,63.77600133419037,73.2479989528656,1.0
32,4096,ok,,66.14399701356888,64.92800265550613,69.43999975919724,0.9378402401493835
32,8192,ok,,66.65600091218948,65.95200300216675,69.11999732255936,0.945099823496626
32,16384,ok,,66.52799993753433,65.08799642324448,68.4799998998642,0.9432849276598154
32,32768,ok,,66.75200164318085,65.79200178384781,67.96800345182419,0.946460995374234
32,65536,ok,,66.65600091218948,65.72800129652023,68.70400160551071,0.945099823496626
32,131072,ok,,66.97600334882736,66.01600348949432,69.92000341415405,0.9496370630886527
32,262144,ok,,66.49599969387054,65.50399959087372,67.80800223350525,0.9428312037006128
32,524288,ok,,66.72000139951706,65.43999910354614,68.28799843788147,0.9460072714150314
64,2048,ok,,90.46400338411331,89.85599875450134,92.3520028591156,1.0
64,4096,ok,,94.78399902582169,93.79199892282486,98.55999797582626,1.0477537526541416
64,8192,ok,,95.2640026807785,93.9520001411438,98.36799651384354,1.0530597709266107
64,16384,ok,,94.84799951314926,94.17600184679031,95.83999961614609,1.0484612217571374
64,32768,ok,,94.43199634552002,93.79199892282486,96.70399874448776,1.0438626725876643
64,65536,ok,,95.36000341176987,94.27200257778168,97.02400118112564,1.0541209745811047
64,131072,ok,,95.551997423172,94.43199634552002,98.4639972448349,1.056243299530476
64,262144,ok,,95.36000341176987,94.68799829483032,96.22400254011154,1.0541209745811047
64,524288,ok,,95.96800059080124,94.87999975681305,98.9760011434555,1.0608418486999494
128,2048,ok,,126.0479986667633,125.47199428081512,127.16799974441528,1.0
128,4096,ok,,131.6159963607788,131.04000687599182,133.12000036239624,1.0441736303067832
128,8192,ok,,131.71200454235077,130.97600638866425,135.3919953107834,1.0449353098462242
128,16384,ok,,131.1360001564026,130.2720010280609,132.192000746727,1.0403655872640276
128,32768,ok,,132.28799402713776,131.67999684810638,133.85599851608276,1.0495049142102708
128,65536,ok,,132.25600123405457,131.80799782276154,133.85599851608276,1.049251099842557
128,131072,ok,,132.1599930524826,131.3920021057129,133.4719955921173,1.048489420303116
128,262144,ok,,132.79999792575836,132.03200697898865,135.1040005683899,1.05356688983889
128,524288,ok,,132.79999792575836,131.9359987974167,134.5919966697693,1.05356688983889
256,2048,ok,,231.26399517059326,230.01599311828613,233.5679978132248,1.0
256,4096,ok,,241.7919933795929,241.02400243282318,244.54399943351746,1.045523723661496
256,8192,ok,,242.11199581623077,240.92799425125122,246.0480034351349,1.0469074342404032
256,16384,ok,,243.3920055627823,242.2720044851303,246.36800587177277,1.0524422765560317
256,32768,ok,,244.9920028448105,243.80800127983093,251.52000784873962,1.059360765017013
256,65536,ok,,245.08799612522125,243.93600225448608,248.1600046157837,1.059775845973908
256,131072,ok,,245.2159970998764,244.1920042037964,249.79199469089508,1.0603293302054708
256,262144,ok,,245.56800723075867,243.74400079250336,254.40001487731934,1.0618514440590459
256,524288,skipped_memory_limit,skipped_memory_limit: estimated live tensors 84.8 GiB exceed current free GPU memory 78.7 GiB,,,,
