case_id,status,skip_reason,stage,pattern,pass_order,cache_state,row_layout,B,H,Q,topk,warmup,repeat,seed,timestamp,latency_ms_median,latency_ms_p5,latency_ms_p95,latency_ms_mean,latency_ms_std,tflops,pairs,flops,target_adjacent_overlap,achieved_adjacent_overlap,target_c4_consecutive_fraction,achieved_c4_consecutive_fraction,unique_kv,reuse_factor,selected_kv_working_set_bytes,selected_kv_working_set_vs_l2,profile_bins,extrapolated_64k_plus,setup_alloc_ms,setup_quant_ms,setup_indices_ms,peak_mem_alloc_bytes,temp_c_before,power_w_before,sm_clock_mhz_before,mem_clock_mhz_before,temp_c_after,power_w_after,sm_clock_mhz_after,mem_clock_mhz_after
b128_h131072_q512_csa_profile_sim_batch_inner_ascending_steady,ok,,full,csa_profile_sim,ascending,steady,batch-inner,128,131072,512,2048,10,30,20260803,2026-08-13T08:10:19.402505+00:00,55.401153564453125,52.10646438598633,55.894142150878906,54.77037111918131,1.2305840167633988,337.38823958685754,134217728,18691697672192,0.50390625,0.50390625,0.3817648634796384,0.4083251953125,14839776,9.044457813918486,8547710976,163.0346484375,"[""64K+""]",True,1.5043579041957855,101.51359438896179,4272.671107202768,19398657024,60.0,116.86,1695.0,1593.0,69.0,335.1,1665.0,1593.0
b128_h131072_q512_csa_profile_sim_batch_inner_descending_steady,ok,,full,csa_profile_sim,descending,steady,batch-inner,128,131072,512,2048,10,30,20260803,2026-08-13T08:26:52.202674+00:00,55.11663818359375,52.285728454589844,55.513248443603516,54.52755966186523,1.131174387211609,339.12985784673367,134217728,18691697672192,0.50390625,0.50390625,0.3817648634796384,0.4083251953125,14839776,9.044457813918486,8547710976,163.0346484375,"[""64K+""]",True,1.634690910577774,106.01015016436577,4289.46752473712,19398657024,57.0,114.15,1695.0,1593.0,69.0,340.83,1545.0,1593.0
b128_h131072_q8_csa_profile_sim_batch_inner_ascending_steady,ok,,full,csa_profile_sim,ascending,steady,batch-inner,128,131072,8,2048,10,30,20260803,2026-08-13T08:08:58.166230+00:00,0.8038719892501831,0.7955520153045654,0.8149120211601257,0.8039210637410482,0.005136578863059747,363.31378631617554,2097152,292057776128,0.50390625,0.50390625,0.3817648634796384,0.4072494954745597,1111764,1.886328393436017,640376064,12.2142041015625,"[""64K+""]",True,0.9570904076099396,79.79027554392815,91.00757911801338,10147136512,69.0,190.49,1740.0,1593.0,69.0,201.54,1650.0,1593.0
b128_h131072_q8_csa_profile_sim_batch_inner_descending_steady,ok,,full,csa_profile_sim,descending,steady,batch-inner,128,131072,8,2048,10,30,20260803,2026-08-13T08:28:20.673104+00:00,0.8034560084342957,0.7998719811439514,0.8218880295753479,0.8058410664399465,0.006371144474138508,363.5018881707494,2097152,292057776128,0.50390625,0.50390625,0.3817648634796384,0.4072494954745597,1111764,1.886328393436017,640376064,12.2142041015625,"[""64K+""]",True,1.007620245218277,84.79062095284462,82.43898674845695,10147136512,60.0,210.45,1740.0,1593.0,60.0,199.35,1695.0,1593.0
b128_h16384_q1024_csa_profile_sim_batch_inner_ascending_steady,ok,,full,csa_profile_sim,ascending,steady,batch-inner,128,16384,1024,2048,10,30,20260803,2026-08-13T08:11:35.248695+00:00,110.85862731933594,107.40969848632812,112.08057403564453,110.52292404174804,1.5148526790222245,337.2168341639171,268435456,37383395344384,0.6015625,0.6015625,0.4795130637871586,0.5724247673019738,2227760,120.49567996552591,1283189760,24.47490234375,"[""16K-32K""]",False,1.4861449599266052,55.03951385617256,9136.747378855944,20677919744,61.0,134.3,1680.0,1593.0,74.0,340.91,1545.0,1593.0
b128_h16384_q1024_csa_profile_sim_batch_inner_descending_steady,ok,,full,csa_profile_sim,descending,steady,batch-inner,128,16384,1024,2048,10,30,20260803,2026-08-13T08:25:28.686852+00:00,110.385986328125,106.05795288085938,111.75667572021484,109.94231465657552,1.6168092997141517,338.6606994955044,268435456,37383395344384,0.6015625,0.6015625,0.4795130637871586,0.5724247673019738,2227760,120.49567996552591,1283189760,24.47490234375,"[""16K-32K""]",False,1.8628500401973724,55.614642798900604,8920.309819281101,20677919744,58.0,129.7,1620.0,1593.0,71.0,337.1,1635.0,1593.0
b128_h16384_q128_csa_profile_sim_batch_inner_ascending_steady,ok,,full,csa_profile_sim,ascending,steady,batch-inner,128,16384,128,2048,10,30,20260803,2026-08-13T08:09:10.870183+00:00,13.10217571258545,13.036928176879883,13.451231956481934,13.240329583485922,0.1814139583092888,356.65255302288205,33554432,4672924418048,0.6015625,0.6015625,0.4795130637871586,0.5750006211013944,2094068,16.02356370471255,1206183168,23.0061181640625,"[""16K-32K""]",False,0.9621046483516693,15.630275011062622,1138.4242959320545,3642754048,62.0,108.56,1755.0,1593.0,67.0,255.25,1710.0,1593.0
b128_h16384_q128_csa_profile_sim_batch_inner_descending_steady,ok,,full,csa_profile_sim,descending,steady,batch-inner,128,16384,128,2048,10,30,20260803,2026-08-13T08:28:05.800699+00:00,13.07759952545166,12.940320014953613,13.457568168640137,13.175565814971923,0.18196684793568926,357.32279528468064,33554432,4672924418048,0.6015625,0.6015625,0.4795130637871586,0.5750006211013944,2094068,16.02356370471255,1206183168,23.0061181640625,"[""16K-32K""]",False,0.9278245270252228,16.316376626491547,1196.1672641336918,3642754048,56.0,103.34,1755.0,1593.0,62.0,255.14,1680.0,1593.0
b128_h16384_q2_csa_profile_sim_batch_inner_ascending_steady,ok,,full,csa_profile_sim,ascending,steady,batch-inner,128,16384,2,2048,10,30,20260803,2026-08-13T08:08:55.416808+00:00,0.2618879973888397,0.25993600487709045,0.2642880082130432,0.2619968016942342,0.0014206606211850244,278.8002686644374,524288,73014444032,0.6015625,0.6015625,0.4795130637871586,0.5674535225048924,366592,1.4301675977653632,211156992,4.0275,"[""16K-32K""]",False,0.6669610738754272,10.17984002828598,33.24006125330925,1611940864,71.0,187.95,1755.0,1593.0,71.0,181.08,1755.0,1593.0
b128_h16384_q2_csa_profile_sim_batch_inner_descending_steady,ok,,full,csa_profile_sim,descending,steady,batch-inner,128,16384,2,2048,10,30,20260803,2026-08-13T08:28:23.735842+00:00,0.2622720003128052,0.2605440020561218,0.26579201221466064,0.2628064026435216,0.0015982318010899909,278.3920660418097,524288,73014444032,0.6015625,0.6015625,0.4795130637871586,0.5674535225048924,366592,1.4301675977653632,211156992,4.0275,"[""16K-32K""]",False,0.6127543747425079,10.791022330522537,32.83253684639931,1611940864,60.0,186.24,1755.0,1593.0,60.0,185.62,1755.0,1593.0
