B,H,Q,random_tflops,random_latency_ms,outer_latency_ms,outer_tflops,outer_pass_spread,outer_pass_count,inner_latency_ms,inner_tflops,inner_pass_spread,inner_pass_count,inner_vs_outer_tflops,inner_vs_outer_latency
1,2048,2,8.08792733669407,0.07052800059318542,0.06822400167584419,8.361155592894534,0.0065881755347927395,2,0.06857600063085556,8.318735199030517,0.016941085413670454,2,0.9949264915127203,1.0051594592279098
1,2048,8,31.57801998891257,0.07225599884986877,0.07091199979186058,32.1766837554233,0.004522769330339793,2,0.070847999304533,32.206381589680014,0.009986352509820273,2,1.0009229613120623,0.9990974660492522
1,2048,32,130.11527439652835,0.07014399766921997,0.06935999915003777,131.58803313945816,0.00787407603759549,2,0.06931199878454208,131.67940968417346,0.008344987459311337,2,1.0006944137892726,0.9993079531994825
1,2048,128,266.42939878794846,0.13702400028705597,0.1364319995045662,267.586307652304,0.0035245177899907443,2,0.13609600067138672,268.25537355522107,0.011825902155401469,2,1.0025003742111738,0.9975372432098071
1,2048,512,453.61855329494233,0.3219200074672699,0.31963199377059937,456.871130035607,0.006931869364838805,2,0.31835199892520905,458.7026889437857,0.000905005006420545,2,1.0040089180247305,0.9959954107525638
1,2048,1024,520.2830382264947,0.5613440275192261,0.557744026184082,523.6692672692466,0.014738170906672732,2,0.5552639961242676,525.9808805043984,0.0025389153644361784,2,1.0044142617862724,0.99555346190477
1,2048,4096,491.2034383402955,2.3783040046691895,2.306015968322754,506.60154685043574,0.0007219214446041455,2,2.253008008003235,518.6056425606927,0.025940627109394487,2,1.0236953396310906,0.9770131859242616
1,4096,2,8.110005559684245,0.0703359991312027,0.069023996591568,8.264159888847749,0.0,2,0.06827200204133987,8.355473817794586,0.011786872479726318,2,1.0110493904008395,0.9891053171742886
1,4096,8,31.80337449283202,0.07174400240182877,0.07078400254249573,32.23480949618871,0.003623215914142941,2,0.070847999304533,32.206381589680014,0.009986352509820273,2,0.9991180991309393,1.0009041133552579
1,4096,32,129.642124338843,0.07039999961853027,0.06939199939370155,131.52785270211422,0.008800437924371352,2,0.06940799951553345,131.49973263808633,0.01205946166658145,2,0.9997862044924312,1.0002305758873025
