case_id,status,skip_reason,stage,pattern,pass_order,cache_state,B,H,Q,topk,warmup,repeat,seed,timestamp,latency_ms_median,latency_ms_p5,latency_ms_p95,latency_ms_mean,latency_ms_std,tflops,pairs,flops,target_adjacent_overlap,achieved_adjacent_overlap,target_c4_consecutive_fraction,achieved_c4_consecutive_fraction,unique_kv,reuse_factor,selected_kv_working_set_bytes,selected_kv_working_set_vs_l2,profile_bins,extrapolated_64k_plus,setup_alloc_ms,setup_quant_ms,setup_indices_ms,peak_mem_alloc_bytes,temp_c_before,power_w_before,sm_clock_mhz_before,mem_clock_mhz_before,temp_c_after,power_w_after,sm_clock_mhz_after,mem_clock_mhz_after
b128_h131072_q512_csa_profile_sim_ascending_steady,ok,,full,csa_profile_sim,ascending,steady,128,131072,512,2048,10,30,20260803,2026-08-12T08:38:26.693765+00:00,41.621246337890625,39.9615364074707,45.294654846191406,42.334160868326826,1.889297513396093,449.09029202173815,134217728,18691697672192,0.50390625,0.50390625,0.3817648634796384,0.4083251953125,14839776,9.044457813918486,8547710976,163.0346484375,"[""64K+""]",True,1.5431642532348633,100.66289454698563,64429.04905229807,16982737920,46.0,101.34,1725.0,1593.0,64.0,332.17,1665.0,1593.0
b128_h131072_q512_csa_profile_sim_descending_steady,ok,,full,csa_profile_sim,descending,steady,128,131072,512,2048,10,30,20260803,2026-08-12T09:34:20.633613+00:00,42.93747329711914,42.067935943603516,44.256736755371094,43.03167279561361,0.9265027904112773,435.3236517400316,134217728,18691697672192,0.50390625,0.50390625,0.3817648634796384,0.4083251953125,14839776,9.044457813918486,8547710976,163.0346484375,"[""64K+""]",True,1.6005262732505798,105.0267294049263,4409.820564091206,16982737920,56.0,107.58,1710.0,1593.0,67.0,337.96,1605.0,1593.0
b128_h131072_q8_csa_profile_sim_ascending_steady,ok,,full,csa_profile_sim,ascending,steady,128,131072,8,2048,10,30,20260803,2026-08-12T08:24:16.455293+00:00,0.7036479711532593,0.7008960247039795,0.7118399739265442,0.7043562670548756,0.003270076069655448,415.0623438156519,2097152,292057776128,0.50390625,0.50390625,0.3817648634796384,0.4072494954745597,1111764,1.886328393436017,640376064,12.2142041015625,"[""64K+""]",True,1.1484324932098389,79.14720103144646,1056.2681406736374,10147136512,49.0,91.82,1755.0,1593.0,50.0,101.11,1755.0,1593.0
b128_h131072_q8_csa_profile_sim_descending_steady,ok,,full,csa_profile_sim,descending,steady,128,131072,8,2048,10,30,20260803,2026-08-12T09:35:43.617987+00:00,0.7067199945449829,0.7019839882850647,0.7173119783401489,0.7082357386747996,0.004406572375057161,413.25811973954336,2097152,292057776128,0.50390625,0.50390625,0.3817648634796384,0.4072494954745597,1111764,1.886328393436017,640376064,12.2142041015625,"[""64K+""]",True,1.0197721421718597,84.74365249276161,74.85948130488396,10147136512,60.0,227.6,1740.0,1593.0,61.0,216.23,1710.0,1593.0
b128_h16384_q1024_csa_profile_sim_ascending_steady,ok,,full,csa_profile_sim,ascending,steady,128,16384,1024,2048,10,30,20260803,2026-08-12T08:52:06.800136+00:00,77.9471664428711,73.09798431396484,79.61788940429688,77.3583770751953,2.124581804337606,479.5991573572206,268435456,37383395344384,0.6015625,0.6015625,0.4795130637871586,0.5724247673019738,2227760,120.49567996552591,1283189760,24.47490234375,"[""16K-32K""]",False,1.5504993498325348,53.31812426447868,135907.2933346033,15846081536,46.0,108.13,1665.0,1593.0,67.0,343.06,1545.0,1593.0
b128_h16384_q1024_csa_profile_sim_descending_steady,ok,,full,csa_profile_sim,descending,steady,128,16384,1024,2048,10,30,20260803,2026-08-12T09:33:03.639679+00:00,79.00032043457031,74.48636627197266,83.58704376220703,79.21113917032878,2.5501948693606193,473.2056166195642,268435456,37383395344384,0.6015625,0.6015625,0.4795130637871586,0.5724247673019738,2227760,120.49567996552591,1283189760,24.47490234375,"[""16K-32K""]",False,1.463763415813446,54.17833849787712,8964.211098849773,15846081536,55.0,119.01,1695.0,1593.0,75.0,342.22,1530.0,1593.0
b128_h16384_q128_csa_profile_sim_ascending_steady,ok,,full,csa_profile_sim,ascending,steady,128,16384,128,2048,10,30,20260803,2026-08-12T08:26:04.296033+00:00,9.775391578674316,9.771488189697266,9.784671783447266,9.77575470606486,0.008424875622915062,478.02938434121694,33554432,4672924418048,0.6015625,0.6015625,0.4795130637871586,0.5750006211013944,2094068,16.02356370471255,1206183168,23.0061181640625,"[""16K-32K""]",False,1.077841967344284,15.398122370243073,17163.31648826599,3282043904,44.0,91.4,1755.0,1593.0,55.0,200.38,1710.0,1593.0
b128_h16384_q128_csa_profile_sim_descending_steady,ok,,full,csa_profile_sim,descending,steady,128,16384,128,2048,10,30,20260803,2026-08-12T09:35:29.521476+00:00,9.945280075073242,9.940608024597168,9.971487998962402,9.95151891708374,0.01469948217008791,469.8635315218698,33554432,4672924418048,0.6015625,0.6015625,0.4795130637871586,0.5750006211013944,2094068,16.02356370471255,1206183168,23.0061181640625,"[""16K-32K""]",False,1.041896641254425,16.03829488158226,1202.5239430367947,3282043904,55.0,100.76,1755.0,1593.0,64.0,207.84,1695.0,1593.0
b128_h16384_q2_csa_profile_sim_ascending_steady,ok,,full,csa_profile_sim,ascending,steady,128,16384,2,2048,10,30,20260803,2026-08-12T08:24:05.642628+00:00,0.2513599991798401,0.24819199740886688,0.25436800718307495,0.25125546505053836,0.0019625130928821624,290.47757905091527,524288,73014444032,0.6015625,0.6015625,0.4795130637871586,0.5674535225048924,366592,1.4301675977653632,211156992,4.0275,"[""16K-32K""]",False,0.7428973913192749,10.294914245605469,364.89758640527725,1611940864,56.0,107.55,1755.0,1593.0,56.0,106.69,1755.0,1593.0
b128_h16384_q2_csa_profile_sim_descending_steady,ok,,full,csa_profile_sim,descending,steady,128,16384,2,2048,10,30,20260803,2026-08-12T09:35:46.731384+00:00,0.2515519857406616,0.2487040013074875,0.2553919851779938,0.2518346647421519,0.0018867713059397358,290.2558841545958,524288,73014444032,0.6015625,0.6015625,0.4795130637871586,0.5674535225048924,366592,1.4301675977653632,211156992,4.0275,"[""16K-32K""]",False,0.6637312471866608,10.846778750419617,31.868871301412582,1611940864,58.0,177.51,1755.0,1593.0,58.0,166.77,1755.0,1593.0
