B,H,Q,random_tflops,shared_template_sim_tflops,independent_seed_sim_tflops,shared_vs_random,independent_vs_random,independent_vs_shared
1,2048,2,8.08792733669407,8.220931351605953,8.361155592894534,1.0164447588825951,1.0337822342889822,1.0170569775237435
1,2048,8,31.57801998891257,31.895887434744296,32.1766837554233,1.0100660980626186,1.0189582426865562,1.0088035274532958
1,2048,32,130.11527439652835,130.1452929360535,131.58803313945816,1.0002307072683385,1.011318876663485,1.0110856118639155
1,2048,128,266.42939878794846,267.7126885403716,267.586307652304,1.0048166221830666,1.0043422717974015,0.9995279234288198
1,2048,512,453.61855329494233,456.77765859081126,456.871130035607,1.0069642329947093,1.0071702903618889,1.0002046322604397
1,2048,1024,520.2830382264947,523.6729288274698,523.6692672692466,1.0065154739861026,1.0065084363585917,0.9999930079291449
1,2048,4096,491.2034383402955,507.816651590628,506.60154685043574,1.0338214514671682,1.0313477213477336,0.9976071979199851
1,4096,2,8.110005559684245,8.22652903433097,8.264159888847749,1.0143678661856874,1.019007919048764,1.0045743295088048
1,4096,8,31.80337449283202,31.853102530969547,32.23480949618871,1.001563608860083,1.0135656989309083,1.0119833527942228
1,4096,32,129.642124338843,129.9966633950927,131.52785270211422,1.0027347519801748,1.0145456453516801,1.0117786815986796
1,4096,128,262.0235792400149,268.2186153112947,268.05703446063814,1.0236430480388374,1.0230263827328936,0.9993975777912767
1,4096,512,453.5284089099583,455.5432215348077,456.68280210204375,1.0044425279326867,1.0069552273465447,1.002501586047964
1,4096,1024,518.9222832397209,522.9241739213553,524.395727441133,1.0077119268354597,1.0105477147121924,1.0028140858525294
1,4096,4096,520.7283599220106,510.5350989089839,516.4975281503492,0.9804249935329943,0.9918751654465392,1.0116787841895827
1,8192,2,7.832069950802604,8.314529466861895,8.381083302252277,1.0616005116259017,1.070098116449204,1.0080045221627558
1,8192,8,31.57801998891257,31.697343726859437,32.05358610336031,1.003778696004017,1.0150600358925201,1.0112388716092637
1,8192,32,128.938816345129,129.70110664689545,131.31382979932278,1.0059120311739642,1.0184196933205638,1.0124341510579233
1,8192,128,261.18375371908553,268.1259422805772,268.37232405539976,1.0265797105012828,1.0275230378381262,1.0009189031569528
1,8192,512,450.30615777334515,454.0028638494383,456.04456094037926,1.0082093171773898,1.0127433371007164,1.0044971017883668
1,8192,1024,519.48349679628,525.8187337664513,524.3637296812549,1.0121952612724783,1.0093943944611752,0.9972328789528396
1,8192,4096,511.9509566206209,519.8459543241058,510.8676665369859,1.0154213945718544,0.9978839963679611,0.982728945541582
1,16384,2,8.169473563244347,8.215042808904464,8.398735207774001,1.0055779904674813,1.0280632090617363,1.022360491983125
1,16384,8,31.634059494449016,31.81047034640236,32.12585927221865,1.0055766112466313,1.0155465275601423,1.0099146262969971
1,16384,32,129.642124338843,129.81915180386258,129.47172666598274,1.0013655088261042,0.9986856303556483,0.9973237759371225
1,16384,128,263.41506550110677,267.6216429978821,267.8691466243482,1.0159693884204115,1.0169089839822496,1.000924826645908
1,16384,512,450.7064433153482,453.03349049569647,455.56866582311136,1.005163110523184,1.0107880031001935,1.0055959998114952
1,16384,1024,518.8928284376653,524.6347282567041,525.4660613380634,1.0110656758088699,1.0126678044870834,1.001584594073903
1,16384,4096,494.47010464266907,514.0350331231002,508.03873588870454,1.0395674648411148,1.0274407514602746,0.9883348471446309
1,32768,2,8.245047439546516,8.248491118016181,8.386690817017778,1.0004176663014877,1.017179207094902,1.0167545429854126
1,32768,8,31.564041121787508,31.69760517064571,32.0319783865384,1.0042315256257224,1.0148250112507897,1.0105488479048361
1,32768,32,129.58322242528024,129.55433284535974,131.40419659424967,0.9997770577133381,1.0140525458071505,1.0142786714134677
1,32768,128,253.07247595559213,258.14117120697307,257.87810703415846,1.02002863105615,1.0189891494933239,0.9989809290335803
1,32768,512,448.80042251883543,443.2030583326308,444.0467410412688,0.9875281664068182,0.9894080280698329,1.0019036030839046
1,32768,1024,509.4220668748575,511.50650244694623,511.46585816303525,1.0040917653702677,1.0040119802832959,0.9999205400445224
1,32768,4096,484.65630057305157,500.00624967308426,501.0884839161447,1.0316718240986098,1.0339048173389347,1.002164441432018
1,65536,2,8.271828807934007,8.200162586857997,8.293095793934976,0.9913361092522527,1.00257101379813,1.011333093227434
1,65536,8,31.59201124325415,31.66963503272116,32.06802799698774,1.0024570702026319,1.015067630549645,1.012579651260741
1,65536,32,125.53374257465747,129.46600585063808,131.19535594670432,1.0313243530809417,1.0451003312410587,1.0133575611968855
1,65536,128,237.92506740576357,247.7440294704558,246.35086911006783,1.0412691364207822,1.0354136779120238,0.9943766137841311
1,65536,512,425.3731232329655,428.3927102528859,430.32769262384454,1.007098678442518,1.011647584485881,1.0045168424313673
1,65536,1024,477.6931428786143,489.6360118016851,490.6532560439157,1.0250011311678082,1.0271306242480325,1.0020775519318679
1,65536,4096,448.3649858102963,474.6529965343805,476.13596648171057,1.0586308288025121,1.0619383349509905,1.003124324418381
