B,H,Q,random_tflops,random_latency_ms,sim_tflops,sim_latency_ms,sim_pass_spread,sim_overlap,sim_c4_consecutive,unique_kv,extrapolated,pass_count,sim_vs_random_tflops
1,2048,2,8.08792733669407,0.07052800059318542,8.361155592894534,0.06822400167584419,0.0065881755347927395,1.0,1.0,2048,False,2,1.0337822342889822
1,2048,8,31.57801998891257,0.07225599884986877,32.1766837554233,0.07091199979186058,0.004522769330339793,0.9983258928571429,0.99926614481409,2056,False,2,1.0189582426865562
1,2048,32,130.11527439652835,0.07014399766921997,131.58803313945816,0.06935999915003777,0.00787407603759549,0.9924395161290323,0.9982876712328768,2080,False,2,1.011318876663485
1,2048,128,266.42939878794846,0.13702400028705597,267.586307652304,0.1364319995045662,0.0035245177899907443,0.968996062992126,0.9972939090019569,2176,False,2,1.0043422717974015
1,2048,512,453.61855329494233,0.3219200074672699,456.871130035607,0.31963199377059937,0.006931869364838805,0.8829500978473581,0.992802868150685,2560,False,2,1.0071702903618889
1,2048,1024,520.2830382264947,0.5613440275192261,523.6692672692466,0.557744026184082,0.014738170906672732,0.8476906158357771,0.9695851424902152,3068,False,2,1.0065084363585917
1,2048,4096,491.2034383402955,2.3783040046691895,506.60154685043574,2.306015968322754,0.0007219214446041455,0.8212912087912088,0.8932809251161937,6140,False,2,1.0313477213477336
1,4096,2,8.110005559684245,0.0703359991312027,8.264159888847749,0.069023996591568,0.0,0.8125,0.8522504892367906,2432,False,2,1.019007919048764
1,4096,8,31.80337449283202,0.07174400240182877,32.23480949618871,0.07078400254249573,0.003623215914142941,0.8125,0.8735322896281801,3512,False,2,1.0135656989309083
1,4096,32,129.642124338843,0.07039999961853027,131.52785270211422,0.06939199939370155,0.008800437924371352,0.8125,0.8745719178082192,4068,False,2,1.0145456453516801
1,4096,128,262.0235792400149,0.1393280029296875,268.05703446063814,0.13619199395179749,0.0,0.8125,0.8796936154598826,4220,False,2,1.0230263827328936
1,4096,512,453.5284089099583,0.3219839930534363,456.68280210204375,0.3197600096464157,0.0005005276096119449,0.8125,0.8686781433463796,4596,False,2,1.0069552273465447
1,4096,1024,518.9222832397209,0.5628160238265991,524.395727441133,0.5569440126419067,0.004203177607418951,0.8125,0.8655248593444227,5112,False,2,1.0105477147121924
1,4096,4096,520.7283599220106,2.2434558868408203,516.4975281503492,2.261952042579651,0.014620966206686958,0.8124670902014652,0.8331511435909981,8180,False,2,0.9918751654465392
1,8192,2,7.832069950802604,0.07283200323581696,8.381083302252277,0.06806400045752525,0.013251292028244599,0.677734375,0.6614481409001957,2708,False,2,1.070098116449204
1,8192,8,31.57801998891257,0.07225599884986877,32.05358610336031,0.07118399813771248,0.0013495379835504195,0.677734375,0.6778375733855186,5240,False,2,1.0150600358925201
1,8192,32,128.938816345129,0.07078400254249573,131.31382979932278,0.06950400024652481,0.0036900650368592025,0.677734375,0.6876834637964775,7888,False,2,1.0184196933205638
1,8192,128,261.18375371908553,0.13977600634098053,268.37232405539976,0.13603200018405914,0.00047048222565493347,0.677734375,0.6900226272015656,8320,False,2,1.0275230378381262
1,8192,512,450.30615777334515,0.324288010597229,456.04456094037926,0.32020799815654755,0.0025014500079023616,0.677734375,0.6840944532778865,8700,False,2,1.0127433371007164
