case_id,status,skip_reason,pass_order,pattern,B,H,topk,warmup,repeat,latency_ms_median,latency_ms_p5,latency_ms_p95,latency_ms_mean,latency_ms_std,tflops,pairs,flops,unique_selected_kv,selected_kv_bytes,selected_kv_vs_l2,known_touched_bytes,known_touched_vs_l2,l2_bytes,flush_bytes,setup_alloc_ms,setup_indices_ms,setup_quant_ms,setup_metadata_ms,peak_mem_alloc_bytes,temp_c_before,power_w_before,sm_clock_mhz_before,mem_clock_mhz_before,temp_c_after,power_w_after,sm_clock_mhz_after,mem_clock_mhz_after,seed,timestamp
ascending_independent_b16_h8192,ok,,ascending,independent,16,8192,2048,5,30,0.047359999269247055,0.04623999819159508,0.050016000866889954,0.0478517334908247,0.0015285260887104883,96.35563391917574,32768,4563402752,32768,21495808,0.41,23855104,0.455,52428800,268435456,13.968098995974287,7.72434999817051,4.491214000154287,0.36438897950574756,730079232,40.0,147.62,1980.0,2619.0,40.0,151.72,1980.0,2619.0,20260810,2026-08-10T11:13:42.858192+00:00
ascending_shared_b8_h8192,ok,,ascending,shared,8,8192,2048,5,30,0.036479998379945755,0.03590400144457817,0.03791999816894531,0.03685440023740132,0.0014784586454167584,62.5466413741489,16384,2281701376,2048,1343488,0.025625,2523136,0.048125,52428800,268435456,0.7328430074267089,2.7810299943666905,1.6722769942134619,0.08862500544637442,500305920,40.0,158.26,1980.0,2619.0,40.0,158.26,1980.0,2619.0,20260810,2026-08-10T11:13:42.952003+00:00
ascending_independent_b8_h8192,ok,,ascending,independent,8,8192,2048,5,30,0.03788800165057182,0.03734400123357773,0.038943998515605927,0.038034133488933246,0.0008052600935587592,60.22226764671722,16384,2281701376,16384,10747904,0.205,11927552,0.2275,52428800,268435456,0.7328430074267089,2.7810299943666905,1.6722769942134619,0.08862500544637442,500305920,40.0,158.26,1980.0,2619.0,40.0,158.26,1980.0,2619.0,20260810,2026-08-10T11:13:42.953351+00:00
ascending_shared_b32_h8192,ok,,ascending,shared,32,8192,2048,5,30,0.058400001376867294,0.05708799883723259,0.059776000678539276,0.058738133311271666,0.0018206601204434866,156.28091247982744,65536,9126805504,2048,1343488,0.025625,6062080,0.115625,52428800,268435456,0.9661650110501796,9.439895016839728,3.6632729752454907,0.11810701107606292,1190215680,40.0,160.23,1980.0,2619.0,40.0,160.23,1980.0,2619.0,20260810,2026-08-10T11:13:43.047820+00:00
ascending_independent_b32_h8192,ok,,ascending,independent,32,8192,2048,5,30,0.06191999837756157,0.0605119988322258,0.06332799792289734,0.06189333312213421,0.0010385989737408344,147.3967335778767,65536,9126805504,65536,42991616,0.82,47710208,0.91,52428800,268435456,0.9661650110501796,9.439895016839728,3.6632729752454907,0.11810701107606292,1190215680,40.0,160.23,1980.0,2619.0,40.0,160.23,1980.0,2619.0,20260810,2026-08-10T11:13:43.049421+00:00
ascending_shared_b64_h8192,ok,,ascending,shared,64,8192,2048,5,30,0.08083199709653854,0.07926400005817413,0.08444800227880478,0.0811701330045859,0.0020732725434626257,225.82160114390732,131072,18253611008,2048,1343488,0.025625,10780672,0.205625,52428800,268435456,11.225808004382998,18.49818299524486,6.890374002978206,0.15407599858008325,2112913408,40.0,160.23,1980.0,2619.0,41.0,164.74,1980.0,2619.0,20260810,2026-08-10T11:13:43.160676+00:00
ascending_independent_b64_h8192,ok,,ascending,independent,64,8192,2048,5,30,0.08828800171613693,0.08736000210046768,0.09558399766683578,0.08939946641524633,0.003179872056129915,206.75075495183256,131072,18253611008,131072,85983232,1.64,95420416,1.82,52428800,268435456,11.225808004382998,18.49818299524486,6.890374002978206,0.15407599858008325,2112913408,40.0,160.23,1980.0,2619.0,41.0,164.74,1980.0,2619.0,20260810,2026-08-10T11:13:43.162066+00:00
ascending_shared_b1_h8192,ok,,ascending,shared,1,8192,2048,5,30,0.03376000002026558,0.033376000821590424,0.03471999987959862,0.03382826658586661,0.0004171252210874646,8.448242648957093,2048,285212672,2048,1343488,0.025625,1490944,0.0284375,52428800,268435456,0.8835149928927422,0.7854669820517302,0.8364690002053976,0.08129602065309882,297943552,41.0,169.04,1980.0,2619.0,41.0,169.04,1980.0,2619.0,20260810,2026-08-10T11:13:43.233844+00:00
ascending_independent_b1_h8192,ok,,ascending,independent,1,8192,2048,5,30,0.033695999532938004,0.033376000821590424,0.034432001411914825,0.03391466662287712,0.0007490590962520676,8.46428881627931,2048,285212672,2048,1343488,0.025625,1490944,0.0284375,52428800,268435456,0.8835149928927422,0.7854669820517302,0.8364690002053976,0.08129602065309882,297943552,41.0,169.04,1980.0,2619.0,41.0,169.04,1980.0,2619.0,20260810,2026-08-10T11:13:43.235179+00:00
ascending_shared_b1_h16384,ok,,ascending,shared,1,16384,2048,5,30,0.034015998244285583,0.03356799855828285,0.035840000957250595,0.03421226677795251,0.0007557572968483516,8.384662709344813,2048,285212672,2048,1343488,0.025625,1490944,0.0284375,52428800,268435456,0.6415119860321283,0.7589329907204956,1.0292510269209743,0.08062701090238988,325932032,41.0,170.0,1980.0,2619.0,41.0,170.0,1980.0,2619.0,20260810,2026-08-10T11:13:43.334142+00:00
ascending_independent_b1_h16384,ok,,ascending,independent,1,16384,2048,5,30,0.03392000123858452,0.0331839993596077,0.03747199848294258,0.03419519948462645,0.001109946258722159,8.40839214579881,2048,285212672,2048,1343488,0.025625,1490944,0.0284375,52428800,268435456,0.6415119860321283,0.7589329907204956,1.0292510269209743,0.08062701090238988,325932032,41.0,170.0,1980.0,2619.0,41.0,170.0,1980.0,2619.0,20260810,2026-08-10T11:13:43.335535+00:00
ascending_shared_b8_h16384,ok,,ascending,shared,8,16384,2048,5,30,0.03670400008559227,0.036288000643253326,0.03961599990725517,0.037128532926241554,0.0011922433724382427,62.164924004990276,16384,2281701376,2048,1343488,0.025625,2523136,0.048125,52428800,268435456,0.6581030029337853,2.7638020110316575,2.4445340095553547,0.0898629950825125,729161728,41.0,170.0,1980.0,2619.0,41.0,169.97,1980.0,2619.0,20260810,2026-08-10T11:13:43.411456+00:00
ascending_independent_b8_h16384,ok,,ascending,independent,8,16384,2048,5,30,0.03798399865627289,0.03750399872660637,0.04016000032424927,0.03845653360088666,0.001962302000912565,60.07006783692552,16384,2281701376,16384,10747904,0.205,11927552,0.2275,52428800,268435456,0.6581030029337853,2.7638020110316575,2.4445340095553547,0.0898629950825125,729161728,41.0,170.0,1980.0,2619.0,41.0,169.97,1980.0,2619.0,20260810,2026-08-10T11:13:43.412799+00:00
ascending_shared_b32_h16384,ok,,ascending,shared,32,16384,2048,5,30,0.05859199911355972,0.05728000029921532,0.06038400158286095,0.0587263997644186,0.0011834347339110874,155.76880191971156,65536,9126805504,2048,1343488,0.025625,6062080,0.115625,52428800,268435456,0.8624460024293512,9.257967991288751,6.856980995507911,0.12909900397062302,2109243392,41.0,169.97,1980.0,2619.0,41.0,171.63,1980.0,2619.0,20260810,2026-08-10T11:13:43.539788+00:00
ascending_independent_b32_h16384,ok,,ascending,independent,32,16384,2048,5,30,0.06172800064086914,0.060896001756191254,0.0658240020275116,0.06231466680765152,0.0026120880245598496,147.8551939029965,65536,9126805504,65536,42991616,0.82,47710208,0.91,52428800,268435456,0.8624460024293512,9.257967991288751,6.856980995507911,0.12909900397062302,2109243392,41.0,169.97,1980.0,2619.0,41.0,171.63,1980.0,2619.0,20260810,2026-08-10T11:13:43.541201+00:00
ascending_shared_b64_h16384,ok,,ascending,shared,64,16384,2048,5,30,0.0814720019698143,0.0799039974808693,0.08323200047016144,0.08161599958936373,0.0013006278872102213,224.04765522716673,131072,18253611008,2048,1343488,0.025625,10780672,0.205625,52428800,268435456,1.3105600082781166,18.992589990375564,13.057411997579038,0.15467300545424223,3948216320,41.0,168.73,1980.0,2619.0,42.0,176.9,1980.0,2619.0,20260810,2026-08-10T11:13:43.686278+00:00
ascending_independent_b64_h16384,ok,,ascending,independent,64,16384,2048,5,30,0.08835200220346451,0.08771199733018875,0.09158399701118469,0.08895999987920125,0.0016696108852959682,206.60098869026228,131072,18253611008,131072,85983232,1.64,95420416,1.82,52428800,268435456,1.3105600082781166,18.992589990375564,13.057411997579038,0.15467300545424223,3948216320,41.0,168.73,1980.0,2619.0,42.0,176.9,1980.0,2619.0,20260810,2026-08-10T11:13:43.687967+00:00
ascending_shared_b16_h16384,ok,,ascending,shared,16,16384,2048,5,30,0.04428799822926521,0.043616000562906265,0.045471999794244766,0.04443519984682401,0.0008428259520757225,103.03926423535066,32768,4563402752,2048,1343488,0.025625,3702784,0.070625,52428800,268435456,1.220275997184217,5.006503983167931,3.667492972454056,0.10126401321031153,1188380672,42.0,176.9,1980.0,2619.0,42.0,176.9,1980.0,2619.0,20260810,2026-08-10T11:13:43.749370+00:00
ascending_independent_b16_h16384,ok,,ascending,independent,16,16384,2048,5,30,0.0461760014295578,0.04553600028157234,0.04755200073122978,0.04623466655611992,0.0005523488310641119,98.82628661473733,32768,4563402752,32768,21495808,0.41,23855104,0.455,52428800,268435456,1.220275997184217,5.006503983167931,3.667492972454056,0.10126401321031153,1188380672,42.0,176.9,1980.0,2619.0,42.0,176.9,1980.0,2619.0,20260810,2026-08-10T11:13:43.751081+00:00
ascending_shared_b16_h32768,ok,,ascending,shared,16,32768,2048,5,30,0.04412800073623657,0.043487999588251114,0.04787199944257736,0.044485333189368245,0.0015063830986526256,103.41285976848418,32768,4563402752,2048,1343488,0.025625,3702784,0.070625,52428800,268435456,2.8667580045294017,4.728892003186047,9.549445006996393,0.09923402103595436,2107408384,42.0,176.9,1980.0,2619.0,41.0,181.76,1980.0,2619.0,20260810,2026-08-10T11:13:43.838482+00:00
ascending_independent_b16_h32768,ok,,ascending,independent,16,32768,2048,5,30,0.046271998435258865,0.04560000076889992,0.04806400090456009,0.04639360023041566,0.0006842015697196484,98.62125921327673,32768,4563402752,32768,21495808,0.41,23855104,0.455,52428800,268435456,2.8667580045294017,4.728892003186047,9.549445006996393,0.09923402103595436,2107408384,42.0,176.9,1980.0,2619.0,41.0,181.76,1980.0,2619.0,20260810,2026-08-10T11:13:43.839748+00:00
ascending_shared_b32_h32768,ok,,ascending,shared,32,32768,2048,5,30,0.05827200040221214,0.057151999324560165,0.05951999872922897,0.05836586666603883,0.001065522992907825,156.62420100569474,65536,9126805504,2048,1343488,0.025625,6062080,0.115625,52428800,268435456,1.198459998704493,8.970020979177207,13.025379012105986,0.12187601532787085,3944546304,41.0,183.7,1980.0,2619.0,41.0,183.7,1980.0,2619.0,20260810,2026-08-10T11:13:43.960998+00:00
