B,H,Q,original_tflops,trace_tflops,trace_vs_original_tflops,original_latency_ms,trace_latency_ms,original_overlap,trace_overlap,overlap_delta,original_unique_kv,trace_unique_kv,original_vs_trace_unique_kv,trace_c4_consecutive_fraction,original_pass_spread,trace_pass_spread,complete_two_pass
1,8192,64,259.4023742291428,259.52066137562826,1.0004559987040864,0.07036799937486649,0.0703359991312027,0.2423580109126984,0.8130270337301587,0.5706690228174603,8253,6416,1.2863154613466334,0.65404843444227,0.0018206784348058225,0.0027335060699851255,True
1,8192,256,370.58680138206944,374.2950154000275,1.0100063305118494,0.19702399522066116,0.1950719952583313,0.2553098192401961,0.8064338235294117,0.5511240042892156,8445,7236,1.1670812603648424,0.684029476516634,0.0016255000730813762,0.0013132076740860477,True
1,8192,1024,521.9554349567583,520.996276109288,0.9981623740587169,0.559552013874054,0.5605760216712952,0.23165962167033236,0.7891904172776149,0.5575307956072825,9214,8080,1.1403465346534654,0.6677814640410958,0.006886207095217589,0.001828376336893811,True
1,8192,2048,527.8416468474604,529.1018975186887,1.0023875544469731,1.1066240072250366,1.103983998298645,0.22087105367611137,0.7906864466292135,0.5698153929531021,10238,8176,1.2522015655577299,0.667993594055773,0.00678950774933873,0.005551769940682627,True
1,16384,64,260.3498103168517,259.81797130010267,0.9979572137344684,0.07011199742555618,0.07025599852204323,0.10764663938492064,0.7241443452380952,0.6164977058531746,16439,8596,1.9124011167985109,0.526174168297456,0.0027422513575048324,0.005938830313678922,True
1,16384,256,364.3449804737602,370.0760522562728,1.0157297948089212,0.2004000023007393,0.19729600101709366,0.12882008272058823,0.7431142769607844,0.6142941942401962,16633,12176,1.3660479632063074,0.5567285347358122,0.003999993145465952,0.002110710496741719,True
1,16384,1024,520.7729462202547,521.1892463592799,1.000799388950687,0.5608159899711609,0.560368001461029,0.11923942677785923,0.7388291941593352,0.619589767381476,17402,14824,1.173907177549919,0.5522527825342466,0.0005136865247119538,5.701431963567316e-05,True
1,16384,2048,527.8739571850485,529.2896847668799,1.00268194246479,1.1065439581871033,1.1035839915275574,0.11496125236626771,0.7345906356863703,0.6196293833201025,18423,16024,1.1497129306040939,0.5452649140777887,0.0011284741216814886,0.0006962159909889021,True
1,32768,64,259.4023742291428,260.11274909328137,1.0027385056372347,0.07036799937486649,0.07017599791288376,0.09202938988095238,0.7473338293650794,0.655304439484127,31118,9948,3.128065942903096,0.5219239236790607,0.0018206784348058225,0.003654664808417918,True
1,32768,256,356.5997891695562,367.18738138348084,1.0296904051418003,0.20475199818611145,0.19884799420833588,0.07243412990196078,0.7310202205882353,0.6585860906862746,33013,15744,2.0968622967479673,0.5082864481409002,0.0020338442227436637,0.001288254619701279,True
1,32768,1024,516.3098111825082,516.8068045895143,1.0009625875709545,0.5656639933586121,0.5651199817657471,0.05516909900415445,0.7304095643939394,0.675240465389785,33772,21896,1.542382170259408,0.4931124633072407,0.0011321154956014379,0.0010198064478275093,True
1,32768,2048,522.2924952005186,525.0798286761831,1.005336728942648,1.1183840036392212,1.1124320030212402,0.057523681759892524,0.7205075262579385,0.6629838444980459,34801,25628,1.357928827844545,0.4906280577299413,0.0074381697591816565,0.0006043561018795884,True
1,65536,64,236.83843944370003,259.69752790529594,1.0965176451731766,0.07707199826836586,0.07028799876570702,0.031374007936507936,0.5724826388888888,0.5411086309523809,55194,11768,4.690176750509857,0.4511986301369863,0.0004152855641805786,0.0013667530349925627,True
1,65536,256,339.79365019246853,365.4257322196129,1.0754342584466356,0.21487999707460403,0.1998080015182495,0.03348843443627451,0.5276654411764706,0.4941770067401961,65763,16744,3.9275561395126615,0.42799045988258316,0.0047767992101761525,0.005460059805355577,True
1,65536,1024,483.2834640828104,517.568821322983,1.070942541568726,0.6043199896812439,0.5642879903316498,0.03247141907991202,0.5850096224340176,0.5525382033541055,66531,27284,2.4384621023310364,0.45881428877201563,0.0010596601074581713,0.0011347719512107002,True
1,65536,2048,482.2360694611832,524.4161298094626,1.0874676595539783,1.2115520238876343,1.1138399839401245,0.031713950674767954,0.5799703071568149,0.5482563564820468,67555,39212,1.7228144445577884,0.43524301308708413,0.03127852765591821,0.0008334337115585289,True
8,8192,64,441.83686154002396,443.40057203278576,1.0035391128012985,0.33051198720932007,0.3293440043926239,0.24883645678323413,0.7371690538194444,0.4883325970362103,66016,48740,1.3544521953221174,0.6102540973581213,0.009826821837567223,0.00819509326582013,True
8,8192,256,525.8255267724383,523.1636301528227,0.9949376808768595,1.1108800172805786,1.1165120005607605,0.24569283279718138,0.742416321997549,0.4967234892003677,67561,55536,1.2165262172284643,0.6207994434931506,0.009667768970751167,0.004480984787230469,True
8,8192,1024,519.0468577697238,518.0184638066021,0.9980186876238099,4.501487970352173,4.5103840827941895,0.2350506227853128,0.7576101234115347,0.5225595006262218,73702,62060,1.1875926522719948,0.6336242317453522,0.006010719486511773,0.00020575200560624118,True
