case_id,status,skip_reason,stage,pattern,pass_order,cache_state,B,H,Q,topk,warmup,repeat,seed,timestamp,setup_alloc_ms,setup_quant_ms,latency_ms_median,latency_ms_p5,latency_ms_p95,latency_ms_mean,latency_ms_std,tflops,pairs,flops,achieved_adjacent_overlap,unique_kv,reuse_factor,selected_kv_working_set_bytes,selected_kv_working_set_vs_l2,c4_consecutive_fraction,trace_rows,hidden_layer_ids,setup_indices_ms,peak_mem_alloc_bytes,temp_c_before,power_w_before,sm_clock_mhz_before,mem_clock_mhz_before,temp_c_after,power_w_after,sm_clock_mhz_after,mem_clock_mhz_after
b32_h16384_q256_original_strided_descending_steady,ok,,full,original_strided,descending,steady,32,16384,256,2048,20,100,20260803,2026-08-11T10:48:28.314342+00:00,0.8335486054420471,5.192868411540985,4.879968166351318,4.862559795379639,5.027040004730225,4.90118818283081,0.04743098388619839,478.7863628157515,16777216,2336462209024,0.12422712737438725,532253,31.521129988933833,306577728,5.847506103515625,,,,7.831871509552002,1527251968,44.0,250.95,1725.0,1593.0,43.0,327.73,1650.0,1593.0
b32_h16384_q64_csa_trace_replay_ascending_steady,ok,,full,csa_trace_replay,ascending,steady,32,16384,64,2048,10,30,20260803,2026-08-11T10:35:57.267900+00:00,0.7306486368179321,3.2205507159233093,1.1424319744110107,1.1397119760513306,1.1974079608917236,1.1569589376449585,0.02422050189199018,511.2913200430556,4194304,584115552256,0.6697658962673612,258888,16.201229875467384,149119488,2.844228515625,0.5461468780577299,"[8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0]","[2,10,16,22,30,36,2,8,14,22,28,36,42,6,14,20,28,34,40,6,12,20,26,32,40,4,12,18,24,32,38,4]",84.18403938412666,892339200,43.0,147.82,1740.0,1593.0,44.0,158.8,1740.0,1593.0
b32_h16384_q64_csa_trace_replay_descending_steady,ok,,full,csa_trace_replay,descending,steady,32,16384,64,2048,10,30,20260803,2026-08-11T10:35:57.560590+00:00,0.7306486368179321,3.2205507159233093,1.144703984260559,1.141152024269104,1.1798080205917358,1.1579488118489583,0.017281682133327952,510.2765084139367,4194304,584115552256,0.6697658962673612,258888,16.201229875467384,149119488,2.844228515625,0.5461468780577299,"[8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0]","[2,10,16,22,30,36,2,8,14,22,28,36,42,6,14,20,28,34,40,6,12,20,26,32,40,4,12,18,24,32,38,4]",78.18593084812164,892339200,43.0,149.75,1740.0,1593.0,45.0,160.58,1695.0,1593.0
b32_h16384_q64_original_strided_ascending_steady,ok,,full,original_strided,ascending,steady,32,16384,64,2048,10,30,20260803,2026-08-11T10:35:57.067622+00:00,0.7306486368179321,3.2205507159233093,1.1731840372085571,1.1697920560836792,1.2431999444961548,1.1951626737912495,0.032443974830950476,497.88910667914394,4194304,584115552256,0.12411450582837301,526077,7.972794857026633,303020352,5.779654541015625,,,,5.575660616159439,892339200,43.0,148.46,1740.0,1593.0,45.0,154.55,1725.0,1593.0
b32_h16384_q64_original_strided_descending_steady,ok,,full,original_strided,descending,steady,32,16384,64,2048,10,30,20260803,2026-08-11T10:35:57.803871+00:00,0.7306486368179321,3.2205507159233093,1.1656639575958252,1.1636799573898315,1.1708799600601196,1.1660565296808878,0.0021273468311190816,501.10115222292256,4194304,584115552256,0.12411450582837301,526077,7.972794857026633,303020352,5.779654541015625,,,,5.376134067773819,892339200,43.0,151.45,1740.0,1593.0,46.0,167.98,1710.0,1593.0
b32_h32768_q1024_csa_trace_replay_ascending_steady,ok,,full,csa_trace_replay,ascending,steady,32,32768,1024,2048,20,100,20260803,2026-08-11T10:48:38.775829+00:00,0.9621791541576385,15.37792757153511,19.16022491455078,18.229055404663086,19.605375289916992,19.05107545852661,0.6513644260972656,487.7734409578102,67108864,9345848836096,0.5902415822794477,813988,82.44453726590564,468857088,8.9427392578125,0.44229072227403377,"[0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19]","[4,14,26,38,6,18,30,40,10,22,32,2,14,24,36,6,16,28,40,8,20,32,42,12,24,34,4,16,26,38,8,18]",1392.1098038554192,5153277952,43.0,91.26,1755.0,1593.0,50.0,336.76,1665.0,1593.0
b32_h32768_q1024_csa_trace_replay_descending_steady,ok,,full,csa_trace_replay,descending,steady,32,32768,1024,2048,20,100,20260803,2026-08-11T10:48:42.554452+00:00,0.9621791541576385,15.37792757153511,19.236608505249023,18.075328826904297,19.748159408569336,19.060703659057616,0.6369901133226578,485.8366189417346,67108864,9345848836096,0.5902415822794477,813988,82.44453726590564,468857088,8.9427392578125,0.44229072227403377,"[0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19]","[4,14,26,38,6,18,30,40,10,22,32,2,14,24,36,6,16,28,40,8,20,32,42,12,24,34,4,16,26,38,8,18]",1336.2643420696259,5153277952,44.0,92.34,1755.0,1593.0,48.0,336.77,1665.0,1593.0
b32_h32768_q1024_original_strided_ascending_steady,ok,,full,original_strided,ascending,steady,32,32768,1024,2048,20,100,20260803,2026-08-11T10:48:36.277992+00:00,0.9621791541576385,15.37792757153511,19.5567684173584,18.33171272277832,21.1560001373291,19.62425672531128,0.8196245914108211,477.88308562271027,67108864,9345848836096,0.06103087543625519,1080831,62.09006218363463,622558656,11.874364013671874,,,,20.168617367744446,5153277952,44.0,296.55,1740.0,1593.0,49.0,337.55,1680.0,1593.0
b32_h32768_q1024_original_strided_descending_steady,ok,,full,original_strided,descending,steady,32,32768,1024,2048,20,100,20260803,2026-08-11T10:48:46.321374+00:00,0.9621791541576385,15.37792757153511,19.738304138183594,19.550336837768555,20.308992385864258,19.810390014648437,0.28305794129958395,473.4879334449269,67108864,9345848836096,0.06103087543625519,1080831,62.09006218363463,622558656,11.874364013671874,,,,20.488563925027847,5421844480,50.0,321.32,1740.0,1593.0,48.0,326.07,1740.0,1593.0
b32_h32768_q2048_csa_trace_replay_ascending_steady,ok,,full,csa_trace_replay,ascending,steady,32,32768,2048,2048,10,30,20260803,2026-08-11T10:36:58.763193+00:00,1.2536495923995972,27.546096593141556,38.682559967041016,36.37180709838867,39.41215896606445,38.16205889383952,1.3424126105046794,483.20735980550467,134217728,18691697672192,0.5590345627747924,911676,147.2208635524024,525125376,10.0159716796875,0.4331985145165729,"[0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19]","[4,14,26,38,6,18,30,40,10,22,32,2,14,24,36,6,16,28,40,8,20,32,42,12,24,34,4,16,26,38,8,18]",2958.1497609615326,9685780480,48.0,101.05,1710.0,1593.0,50.0,324.05,1725.0,1593.0
b32_h32768_q2048_csa_trace_replay_descending_steady,ok,,full,csa_trace_replay,descending,steady,32,32768,2048,2048,10,30,20260803,2026-08-11T10:37:03.458007+00:00,1.2536495923995972,27.546096593141556,38.40028762817383,36.41532897949219,39.410400390625,38.10661849975586,1.261460471250758,486.759314231754,134217728,18691697672192,0.5590345627747924,911676,147.2208635524024,525125376,10.0159716796875,0.4331985145165729,"[0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19]","[4,14,26,38,6,18,30,40,10,22,32,2,14,24,36,6,16,28,40,8,20,32,42,12,24,34,4,16,26,38,8,18]",2969.6501195430756,9685780480,48.0,99.79,1680.0,1593.0,49.0,323.37,1680.0,1593.0
b32_h32768_q2048_original_strided_ascending_steady,ok,,full,original_strided,ascending,steady,32,32768,2048,2048,10,30,20260803,2026-08-11T10:36:57.040630+00:00,1.2536495923995972,27.546096593141556,37.95487976074219,36.905696868896484,42.52492904663086,38.50231348673503,1.6270814726178755,492.4715290897945,134217728,18691697672192,0.06058518969261419,1113578,120.52835813925921,641420928,12.23413330078125,,,,38.3266806602478,9685780480,53.0,300.28,1710.0,1593.0,54.0,338.84,1635.0,1593.0
b32_h32768_q2048_original_strided_descending_steady,ok,,full,original_strided,descending,steady,32,32768,2048,2048,10,30,20260803,2026-08-11T10:37:08.138888+00:00,1.2536495923995972,27.546096593141556,38.0819206237793,36.90550231933594,42.5307502746582,38.49504534403483,1.5961915915297795,490.82864955399435,134217728,18691697672192,0.06058518969261419,1113578,120.52835813925921,641420928,12.23413330078125,,,,38.81454840302467,10222913536,52.0,301.51,1695.0,1593.0,54.0,338.57,1605.0,1593.0
