B,H,Q,pattern,latency_ms,latency_ms_pass_min,latency_ms_pass_max,pass_spread,tflops,tflops_pass_min,tflops_pass_max,adjacent_overlap,unique_kv,reuse_factor,c4_consecutive_fraction,pass_count
1,8192,64,csa_trace_replay,0.0703359991312027,0.07023999840021133,0.07043199986219406,0.0027335060699851255,259.52066137562826,259.1664448505605,259.874877900696,0.8130270337301587,6416,20.428927680798004,0.65404843444227,2
1,8192,64,original_strided,0.07036799937486649,0.07030399888753891,0.07043199986219406,0.0018206784348058225,259.4023742291428,259.1664448505605,259.63830360772516,0.2423580109126984,8253,15.881739973343027,,2
1,8192,256,csa_trace_replay,0.1950719952583313,0.19494399428367615,0.19519999623298645,0.0013132076740860477,374.2950154000275,374.04941312012915,374.5406176799259,0.8064338235294117,7236,72.4555002763958,0.684029476516634,2
1,8192,256,original_strided,0.19702399522066116,0.19686399400234222,0.1971839964389801,0.0016255000730813762,370.58680138206944,370.2858515426976,370.88775122144125,0.2553098192401961,8445,62.08265245707519,,2
1,8192,1024,csa_trace_replay,0.5605760216712952,0.5600640177726746,0.5610880255699158,0.001828376336893811,520.996276109288,520.5204224976058,521.4721297209703,0.7891904172776149,8080,259.54851485148515,0.6677814640410958,2
1,8192,1024,original_strided,0.559552013874054,0.5576320290565491,0.5614719986915588,0.006886207095217589,521.9554349567583,520.1644548768319,523.7464150366847,0.23165962167033236,9214,227.60494899066637,,2
1,8192,2048,csa_trace_replay,1.103983998298645,1.1009279489517212,1.1070400476455688,0.005551769940682627,529.1018975186887,527.6372372420362,530.5665577953413,0.7906864466292135,8176,513.0019569471624,0.667993594055773,2
1,8192,2048,original_strided,1.1066240072250366,1.1028800010681152,1.110368013381958,0.00678950774933873,527.8416468474604,526.0558168250014,529.6274768699195,0.22087105367611137,10238,409.68001562805233,,2
1,16384,64,csa_trace_replay,0.07025599852204323,0.07004799693822861,0.07046400010585785,0.005938830313678922,259.81797130010267,259.04874802136777,260.58719457883757,0.7241443452380952,8596,15.24802233597022,0.526174168297456,2
1,16384,64,original_strided,0.07011199742555618,0.07001599669456482,0.07020799815654755,0.0027422513575048324,260.3498103168517,259.9933267901854,260.706293843518,0.10764663938492064,16439,7.973234381653385,,2
1,16384,256,csa_trace_replay,0.19729600101709366,0.19708800315856934,0.19750399887561798,0.002110710496741719,370.0760522562728,369.6859022990328,370.4662022135128,0.7431142769607844,12176,43.059132720105126,0.5567285347358122,2
1,16384,256,original_strided,0.2004000023007393,0.20000000298023224,0.20080000162124634,0.003999993145465952,364.3449804737602,363.61774622752023,365.07221472000015,0.12882008272058823,16633,31.520952323693862,,2
1,16384,1024,csa_trace_replay,0.560368001461029,0.5603520274162292,0.5603839755058289,5.701431963567316e-05,521.1892463592799,521.1743891576751,521.2041035608846,0.7388291941593352,14824,141.47004856988667,0.5522527825342466,2
1,16384,1024,original_strided,0.5608159899711609,0.5606719851493835,0.5609599947929382,0.0005136865247119538,520.7729462202547,520.6392235435693,520.9066688969401,0.11923942677785923,17402,120.5121250430985,,2
1,16384,2048,csa_trace_replay,1.1035839915275574,1.1031999588012695,1.1039680242538452,0.0006962159909889021,529.2896847668799,529.1054989122485,529.4738706215113,0.7345906356863703,16024,261.75137294058914,0.5452649140777887,2
1,16384,2048,original_strided,1.1065439581871033,1.1059199571609497,1.1071679592132568,0.0011284741216814886,527.8739571850485,527.5762790959621,528.1716352741348,0.11496125236626771,18423,227.66672094664278,,2
1,32768,64,csa_trace_replay,0.07017599791288376,0.07004799693822861,0.07030399888753891,0.003654664808417918,260.11274909328137,259.63830360772516,260.58719457883757,0.7473338293650794,9948,13.175713711298753,0.5219239236790607,2
1,32768,64,original_strided,0.07036799937486649,0.07030399888753891,0.07043199986219406,0.0018206784348058225,259.4023742291428,259.1664448505605,259.63830360772516,0.09202938988095238,31118,4.212095893052252,,2
1,32768,256,csa_trace_replay,0.19884799420833588,0.19871999323368073,0.19897599518299103,0.001288254619701279,367.18738138348084,366.95101821127344,367.42374455568824,0.7310202205882353,15744,33.300813008130085,0.5082864481409002,2
1,32768,256,original_strided,0.20475199818611145,0.20454399287700653,0.20496000349521637,0.0020338442227436637,356.5997891695562,356.237523355156,356.9620549839564,0.07243412990196078,33013,15.881258898009875,,2
1,32768,1024,csa_trace_replay,0.5651199817657471,0.5648319721221924,0.5654079914093018,0.0010198064478275093,516.8068045895143,516.5434174356724,517.0701917433561,0.7304095643939394,21896,95.77785896967482,0.4931124633072407,2
1,32768,1024,original_strided,0.5656639933586121,0.565343976020813,0.5659840106964111,0.0011321154956014379,516.3098111825082,516.017715356728,516.6019070082883,0.05516909900415445,33772,62.09735875873505,,2
1,32768,2048,csa_trace_replay,1.1124320030212402,1.1120959520339966,1.1127680540084839,0.0006043561018795884,525.0798286761831,524.9212090083479,525.2384483440181,0.7205075262579385,25628,163.66099578585923,0.4906280577299413,2
1,32768,2048,original_strided,1.1183840036392212,1.114240050315857,1.1225279569625854,0.0074381697591816565,522.2924952005186,520.3572424481441,524.2277479528931,0.057523681759892524,34801,120.5225137208701,,2
1,65536,64,csa_trace_replay,0.07028799876570702,0.07023999840021133,0.0703359991312027,0.0013667530349925627,259.69752790529594,259.52017790989584,259.874877900696,0.5724826388888888,11768,11.138001359619306,0.4511986301369863,2
1,65536,64,original_strided,0.07707199826836586,0.07705599814653397,0.07708799839019775,0.0004152855641805786,236.83843944370003,236.78927186052178,236.88760702687827,0.031374007936507936,55194,2.3747508787187015,,2
