H,N,adjacent_overlap,backend,cache_state,case_id,flops,kv_token_bytes,latency_ms,latency_ms_mean,latency_ms_median,latency_ms_p5,latency_ms_p95,latency_ms_std,mem_clock_mhz_after,mem_clock_mhz_before,pairs,pass_count,pass_order,pass_spread_pct,pattern,peak_mem_alloc_bytes,power_w_after,power_w_before,repeat,reuse_factor,seed,segment_mode,selected_kv_working_set_bytes,selected_kv_working_set_vs_l2,skip_reason,sm_clock_mhz_after,sm_clock_mhz_before,status,temp_c_after,temp_c_before,tflops,timestamp,topk,unique_kv,warmup
524288,64,0.0,flashmla_bf16,l2-cold,descending_flashmla_bf16_l2-cold_isolated_dispersed_n64_h524288,18253611008,1152,0.08304000273346901,0.08298560033241907,0.08265600353479385,0.08163200318813324,0.08422400057315826,0.0012436195232528218,2619.0,2619.0,131072,2,descending,0.9291501699898008,isolated_dispersed,38933136384,157.51,156.9,30,1.0,20260810,isolated,150994944,2.88,,1980.0,1980.0,ok,42.0,42.0,219.82178164710012,2026-08-10T09:07:08.765489+00:00,2048,131072,10
2048,64,1.0,flashmla_bf16,l2-cold,descending_flashmla_bf16_l2-cold_shared_contiguous_n64_h2048,18253611008,1152,0.06975999847054482,0.06964373315374056,0.06934399902820587,0.06896000355482101,0.07088000327348709,0.0010207784362399929,2619.0,2619.0,131072,2,descending,1.1998138214374787,shared_contiguous,281838592,158.13,156.89,30,64.0,20260810,shared,2359296,0.045,,1980.0,1980.0,ok,42.0,41.0,261.67231287097076,2026-08-10T09:07:15.112720+00:00,2048,2048,10
32768,64,1.0,flashmla_bf16,l2-cold,descending_flashmla_bf16_l2-cold_shared_contiguous_n64_h32768,18253611008,1152,0.06964800134301186,0.06967679957548777,0.06940799951553345,0.06911999732255936,0.07129599899053574,0.000967988460051167,2619.0,2619.0,131072,2,descending,0.6915682029553283,shared_contiguous,317228032,306.89,306.89,30,64.0,20260810,shared,2359296,0.045,,1980.0,1980.0,ok,44.0,44.0,262.0868856150887,2026-08-10T09:07:10.469309+00:00,2048,2048,10
524288,64,1.0,flashmla_bf16,l2-cold,descending_flashmla_bf16_l2-cold_shared_contiguous_n64_h524288,18253611008,1152,0.06996800005435944,0.07014186680316925,0.06998399645090103,0.06931199878454208,0.07088000327348709,0.00105282534890605,2619.0,2619.0,131072,2,descending,0.04573534911120891,shared_contiguous,883459072,154.62,154.62,30,64.0,20260810,shared,2359296,0.045,,1980.0,1980.0,ok,42.0,42.0,260.8851467516455,2026-08-10T09:07:08.564639+00:00,2048,2048,10
2048,64,1.0,flashmla_bf16,l2-cold,descending_flashmla_bf16_l2-cold_shared_dispersed_n64_h2048,18253611008,1152,0.06975999847054482,0.06937386592229207,0.06918399780988693,0.06892800331115723,0.07001599669456482,0.0008208042709633135,2619.0,2619.0,131072,2,descending,1.665126846935605,shared_dispersed,281838592,158.13,158.13,30,64.0,20260810,shared,2359296,0.045,,1980.0,1980.0,ok,42.0,42.0,261.6808479876922,2026-08-10T09:07:15.154989+00:00,2048,2048,10
32768,64,1.0,flashmla_bf16,l2-cold,descending_flashmla_bf16_l2-cold_shared_dispersed_n64_h32768,18253611008,1152,0.06966400146484375,0.07101759935418765,0.06940799951553345,0.069023996591568,0.07401599735021591,0.007361108828841102,2619.0,2619.0,131072,2,descending,0.7376727498190183,shared_dispersed,317228032,263.6,299.65,30,64.0,20260810,shared,2359296,0.045,,1980.0,1980.0,ok,43.0,44.0,262.02711771354467,2026-08-10T09:07:10.599179+00:00,2048,2048,10
524288,64,1.0,flashmla_bf16,l2-cold,descending_flashmla_bf16_l2-cold_shared_dispersed_n64_h524288,18253611008,1152,0.06984000280499458,0.06999146739641825,0.0697920024394989,0.0692799985408783,0.07135999947786331,0.0010347985063123616,2619.0,2619.0,131072,2,descending,0.1375526244208114,shared_dispersed,883459072,154.62,156.43,30,64.0,20260810,shared,2359296,0.045,,1980.0,1980.0,ok,42.0,42.0,261.3633862729862,2026-08-10T09:07:08.485643+00:00,2048,2048,10
2048,64,1.0,flashmla_bf16,steady,descending_flashmla_bf16_steady_independent_contiguous_n64_h2048,18253611008,1152,0.06916799768805504,0.06902719959616661,0.0689919963479042,0.06864000111818314,0.06943999975919724,0.00048059278421501417,2619.0,2619.0,131072,2,descending,0.5102079935861425,independent_contiguous,281838592,159.31,159.43,30,64.0,20260810,shared,2359296,0.045,,1980.0,1980.0,ok,42.0,42.0,263.904259282722,2026-08-10T09:07:14.700398+00:00,2048,2048,10
32768,64,0.75,flashmla_bf16,steady,descending_flashmla_bf16_steady_independent_contiguous_n64_h32768,18253611008,1152,0.07428799942135811,0.07428053319454193,0.07414399832487106,0.07366400212049484,0.07574400305747986,0.0007975609201356238,2619.0,2619.0,131072,2,descending,0.38843628544575903,independent_contiguous,317228032,299.65,299.65,30,4.0,20260810,shared,37748736,0.72,,1980.0,1980.0,ok,44.0,44.0,245.71505138968786,2026-08-10T09:07:10.563823+00:00,2048,32768,10
524288,64,0.0,flashmla_bf16,steady,descending_flashmla_bf16_steady_independent_contiguous_n64_h524288,18253611008,1152,0.0809439979493618,0.08099733342727025,0.08089599758386612,0.07974400371313095,0.0822720006108284,0.000841913502306748,2619.0,2619.0,131072,2,descending,0.11867179323901134,independent_contiguous,883458560,157.86,157.86,30,1.0,20260810,shared,150994944,2.88,,1980.0,1980.0,ok,41.0,41.0,225.50921488260818,2026-08-10T09:07:08.111651+00:00,2048,131072,10
2048,64,1.0,flashmla_bf16,steady,descending_flashmla_bf16_steady_independent_dispersed_n64_h2048,18253611008,1152,0.06902400031685829,0.06896426702539125,0.06886400282382965,0.0684799998998642,0.0695360004901886,0.0004459167068298896,2619.0,2619.0,131072,2,descending,0.46467671488092943,independent_dispersed,281838592,156.89,160.99,30,64.0,20260810,shared,2359296,0.045,,1980.0,1980.0,ok,41.0,41.0,264.45452311480784,2026-08-10T09:07:15.015469+00:00,2048,2048,10
32768,64,0.0,flashmla_bf16,steady,descending_flashmla_bf16_steady_independent_dispersed_n64_h32768,18253611008,1152,0.07366399839520454,0.07406719997525216,0.07395199686288834,0.07321599870920181,0.07500799745321274,0.0006638028307076113,2619.0,2619.0,131072,2,descending,0.7849936436117311,independent_dispersed,317228032,306.89,337.41,30,4.0,20260810,shared,37748736,0.72,,1980.0,1980.0,ok,44.0,45.0,247.7993377926952,2026-08-10T09:07:10.412582+00:00,2048,32768,10
524288,64,0.0,flashmla_bf16,steady,descending_flashmla_bf16_steady_independent_dispersed_n64_h524288,18253611008,1152,0.08417600020766258,0.08433173274000486,0.08416000008583069,0.08278399705886841,0.0859839990735054,0.0012760601468276146,2619.0,2619.0,131072,2,descending,0.038023103173889794,independent_dispersed,883458560,157.93,157.93,30,1.0,20260810,shared,150994944,2.88,,1980.0,1980.0,ok,42.0,42.0,216.8505467410468,2026-08-10T09:07:08.045604+00:00,2048,131072,10
2048,64,0.0,flashmla_bf16,steady,descending_flashmla_bf16_steady_isolated_contiguous_n64_h2048,18253611008,1152,0.08054400235414505,0.0804917333026727,0.08044800162315369,0.07945600152015686,0.08163200318813324,0.0006713640713262121,2619.0,2619.0,131072,2,descending,0.2386652969729841,isolated_contiguous,429425664,179.61,179.61,30,1.0,20260810,isolated,150994944,2.88,,1980.0,1980.0,ok,42.0,42.0,226.62937532586471,2026-08-10T09:07:13.540649+00:00,2048,131072,10
32768,64,0.0,flashmla_bf16,steady,descending_flashmla_bf16_steady_isolated_contiguous_n64_h32768,18253611008,1152,0.07982400059700012,0.08005120058854422,0.07993599772453308,0.0785600021481514,0.08166400343179703,0.0008872565596425192,2619.0,2619.0,131072,2,descending,0.2810044225669328,isolated_contiguous,2694349312,232.71,232.71,30,1.0,20260810,isolated,150994944,2.88,,1980.0,1980.0,ok,43.0,43.0,228.67366712676002,2026-08-10T09:07:10.741957+00:00,2048,131072,10
524288,64,0.0,flashmla_bf16,steady,descending_flashmla_bf16_steady_isolated_contiguous_n64_h524288,18253611008,1152,0.07972799986600876,0.07959359933932622,0.07929600030183792,0.07859200239181519,0.0814720019698143,0.0009929676543045192,2619.0,2619.0,131072,2,descending,1.089587274330217,isolated_contiguous,38933136384,157.51,157.51,30,1.0,20260810,isolated,150994944,2.88,,1980.0,1980.0,ok,42.0,42.0,228.9552850522436,2026-08-10T09:07:08.869675+00:00,2048,131072,10
2048,64,0.0,flashmla_bf16,steady,descending_flashmla_bf16_steady_isolated_dispersed_n64_h2048,18253611008,1152,0.08070399984717369,0.08036800026893616,0.08019199967384338,0.07945600152015686,0.08169600367546082,0.0007529078941366633,2619.0,2619.0,131072,2,descending,1.2769357926294633,isolated_dispersed,429425664,180.81,180.81,30,1.0,20260810,isolated,150994944,2.88,,1980.0,1980.0,ok,42.0,42.0,226.1888599483658,2026-08-10T09:07:13.499779+00:00,2048,131072,10
32768,64,0.0,flashmla_bf16,steady,descending_flashmla_bf16_steady_isolated_dispersed_n64_h32768,18253611008,1152,0.08318400010466576,0.08323306689659754,0.08291199803352356,0.0820159986615181,0.08531200140714645,0.0010898652906250075,2619.0,2619.0,131072,2,descending,0.6561223407792305,isolated_dispersed,2694349824,159.01,196.37,30,1.0,20260810,isolated,150994944,2.88,,1980.0,1980.0,ok,43.0,43.0,219.43890841226863,2026-08-10T09:07:10.896499+00:00,2048,131072,10
524288,64,0.0,flashmla_bf16,steady,descending_flashmla_bf16_steady_isolated_dispersed_n64_h524288,18253611008,1152,0.08343999832868576,0.08329706639051437,0.08291199803352356,0.08204799890518188,0.08566399663686752,0.0011796241234949309,2619.0,2619.0,131072,2,descending,1.2736402636171373,isolated_dispersed,38933135872,156.9,156.43,30,1.0,20260810,isolated,150994944,2.88,,1980.0,1980.0,ok,42.0,41.0,218.77207958680225,2026-08-10T09:07:08.707692+00:00,2048,131072,10
2048,64,1.0,flashmla_bf16,steady,descending_flashmla_bf16_steady_shared_contiguous_n64_h2048,18253611008,1152,0.06852800026535988,0.06840853244066239,0.06831999868154526,0.06800000369548798,0.06921599805355072,0.0005244288446594473,2619.0,2619.0,131072,2,descending,0.6089039456343093,shared_contiguous,281838592,160.99,160.24,30,64.0,20260810,shared,2359296,0.045,,1980.0,1980.0,ok,41.0,41.0,266.3696460989913,2026-08-10T09:07:14.892115+00:00,2048,2048,10
32768,64,1.0,flashmla_bf16,steady,descending_flashmla_bf16_steady_shared_contiguous_n64_h32768,18253611008,1152,0.06856000050902367,0.06848213250438372,0.06835199892520905,0.06815999746322632,0.06892800331115723,0.0006458904657686286,2619.0,2619.0,131072,2,descending,0.6086188760689115,shared_contiguous,317228032,376.29,411.48,30,64.0,20260810,shared,2359296,0.045,,1980.0,1980.0,ok,45.0,46.0,266.2453163080364,2026-08-10T09:07:10.201725+00:00,2048,2048,10
524288,64,1.0,flashmla_bf16,steady,descending_flashmla_bf16_steady_shared_contiguous_n64_h524288,18253611008,1152,0.06868800148367882,0.06871573353807131,0.06860800087451935,0.06825599819421768,0.06921599805355072,0.0004616207288022363,2619.0,2619.0,131072,2,descending,0.233210728019273,shared_contiguous,883459072,156.43,156.43,30,64.0,20260810,shared,2359296,0.045,,1980.0,1980.0,ok,42.0,42.0,265.7470791850151,2026-08-10T09:07:08.412366+00:00,2048,2048,10
2048,64,1.0,flashmla_bf16,steady,descending_flashmla_bf16_steady_shared_dispersed_n64_h2048,18253611008,1152,0.06854400038719177,0.06861013223727544,0.06831999868154526,0.06803199648857117,0.07148800045251846,0.001160705858271335,2619.0,2619.0,131072,2,descending,0.655742710683116,shared_dispersed,281838592,160.24,160.24,30,64.0,20260810,shared,2359296,0.045,,1980.0,1980.0,ok,41.0,41.0,266.30785848754397,2026-08-10T09:07:14.857009+00:00,2048,2048,10
